Adapted start,Adapted end,Classification,,,,,
182.75,183.25,traffic,,,,,
183.25,183.75,traffic,,,,,
183.75,184.25,traffic,,,,,
184.25,184.75,traffic,,,,,
184.75,185.25,traffic,,,,,
185.25,185.75,traffic,,,,,
185.75,186.25,traffic,,,,,
186.25,186.75,other,,,,,
186.75,187.25,traffic,,,,,
187.25,187.75,traffic,,,,,
187.75,188.25,traffic,,,,,
188.25,188.75,traffic,,,,,
188.75,189.25,traffic,,,,,
189.25,189.75,traffic,,,,,
189.75,190.25,traffic,,,,,
190.25,190.75,other,,,,,
190.75,191.25,traffic,,,,,
191.25,191.75,traffic,,,,,
191.75,192.25,traffic,,,,,
192.25,192.75,traffic,,,,,
192.75,193.25,traffic,,,,,
193.25,193.75,traffic,,,,,
193.75,194.25,traffic,,,,,
194.25,194.75,traffic,,,,,
194.75,195.25,other,,,,,
195.25,195.75,traffic,,,,,
195.75,196.25,traffic,,,,,
196.25,196.75,traffic,,,,,
196.75,197.25,other,,,,,
197.25,197.75,traffic,,,,,
197.75,198.25,traffic,,,,,
198.25,198.75,traffic,,,,,
198.75,199.25,traffic,,,,,
199.25,199.75,traffic,,,,,
199.75,200.25,traffic,,,,,
200.25,200.75,traffic,,,,,
200.75,201.25,traffic,,,,,
201.25,201.75,traffic,,,,,
201.75,202.25,traffic,,,,,
202.25,202.75,traffic,,,,,
202.75,203.25,traffic,,,,,
203.25,203.75,traffic,,,,,
203.75,204.25,traffic,,,,,
204.25,204.75,traffic,,,,,
204.75,205.25,traffic,,,,,
205.25,205.75,traffic,,,,,
205.75,206.25,other,,,,,
206.25,206.75,traffic,,,,,
206.75,207.25,traffic,,,,,
207.25,207.75,traffic,,,,,
207.75,208.25,traffic,,,,,
208.25,208.75,traffic,,,,,
208.75,209.25,other,,,,,
209.25,209.75,other,,,,,
209.75,210.25,traffic,,,,,
210.25,210.75,traffic,,,,,
210.75,211.25,traffic,,,,,
211.25,211.75,other,,,,,
211.75,212.25,traffic,,,,,
212.25,212.75,other,,,,,
212.75,213.25,other,,,,,
213.25,213.75,traffic,,,,,
213.75,214.25,traffic,,,,,
214.25,214.75,traffic,,,,,
214.75,215.25,traffic,,,,,
215.25,215.75,traffic,,,,,
215.75,216.25,traffic,,,,,
216.25,216.75,other,,,,,
216.75,217.25,other,,,,,
217.25,217.75,traffic,,,,,
217.75,218.25,traffic,,,,,
218.25,218.75,other,,,,,
218.75,219.25,other,,,,,
219.25,219.75,other,,,,,
219.75,220.25,traffic,,,,,
220.25,220.75,traffic,,,,,
220.75,221.25,traffic,,,,,
221.25,221.75,traffic,,,,,
221.75,222.25,traffic,,,,,
222.25,222.75,traffic,,,,,
222.75,223.25,traffic,,,,,
223.25,223.75,traffic,,,,,
223.75,224.25,traffic,,,,,
224.25,224.75,traffic,,,,,
224.75,225.25,traffic,,,,,
225.25,225.75,traffic,,,,,
225.75,226.25,traffic,,,,,
226.25,226.75,traffic,,,,,
226.75,227.25,traffic,,,,,
227.25,227.75,traffic,,,,,
227.75,228.25,traffic,,,,,
228.25,228.75,other,,,,,
228.75,229.25,other,,,,,
229.25,229.75,other,,,,,
229.75,230.25,other,,,,,
230.25,230.75,traffic,,,,,
230.75,231.25,other,,,,,
231.25,231.75,other,,,,,
231.75,232.25,other,,,,,
232.25,232.75,traffic,,,,,
232.75,233.25,other,,,,,
233.25,233.75,other,,,,,
233.75,234.25,other,,,,,
234.25,234.75,traffic,,,,,
234.75,235.25,other,,,,,
235.25,235.75,traffic,,,,,
235.75,236.25,traffic,,,,,
236.25,236.75,other,,,,,
236.75,237.25,other,,,,,
237.25,237.75,other,,,,,
237.75,238.25,other,,,,,
238.25,238.75,other,,,,,
238.75,239.25,traffic,,,,,
239.25,239.75,traffic,,,,,
239.75,240.25,traffic,,,,,
240.25,240.75,traffic,,,,,
240.75,241.25,other,,,,,
241.25,241.75,traffic,,,,,
241.75,242.25,traffic,,,,,
242.25,242.75,other,,,,,
242.75,243.25,traffic,,,,,
243.25,243.75,traffic,,,,,
243.75,244.25,traffic,,,,,
244.25,244.75,traffic,,,,,
244.75,245.25,traffic,,,,,
245.25,245.75,traffic,,,,,
245.75,246.25,other,,,,,
246.25,246.75,traffic,,,,,
246.75,247.25,traffic,,,,,
247.25,247.75,other,,,,,
247.75,248.25,traffic,,,,,
248.25,248.75,other,,,,,
248.75,249.25,traffic,,,,,
249.25,249.75,traffic,,,,,
249.75,250.25,traffic,,,,,
250.25,250.75,traffic,,,,,
250.75,251.25,traffic,,,,,
251.25,251.75,traffic,,,,,
251.75,252.25,traffic,,,,,
252.25,252.75,other,,,,,
252.75,253.25,traffic,,,,,
253.25,253.75,traffic,,,,,
253.75,254.25,traffic,,,,,
254.25,254.75,traffic,,,,,
254.75,255.25,traffic,,,,,
255.25,255.75,traffic,,,,,
255.75,256.25,traffic,,,,,
256.25,256.75,traffic,,,,,
256.75,257.25,other,,,,,
257.25,257.75,traffic,,,,,
257.75,258.25,traffic,,,,,
258.25,258.75,traffic,,,,,
258.75,259.25,bee,,,,,
259.25,259.75,bee,,,,,
259.75,260.25,traffic,,,,,
260.25,260.75,traffic,,,,,
260.75,261.25,traffic,,,,,
261.25,261.75,traffic,,,,,
261.75,262.25,other,,,,,
262.25,262.75,other,,,,,
262.75,263.25,traffic,,,,,
